Date,Latitude,Longitude,temperature_2m_max,sunshine_duration,rain_sum,wind_speed_10m_max,shortwave_radiation_sum,DOY
2024-06-30 00:00:00+10:00,-20.984182357788086,145.0405731201172,26.940498,33962.695,0.0,5.8523498,15.88,181
2024-07-01 00:00:00+10:00,-20.984182357788086,145.0405731201172,28.190498,35698.22,0.0,4.5,15.8,182
2024-07-02 00:00:00+10:00,-20.984182357788086,145.0405731201172,22.1405,21255.785,0.1,5.3,9.87,183
2024-07-03 00:00:00+10:00,-20.984182357788086,145.0405731201172,23.6405,22913.324,0.0,3.765634,11.27,184
2024-07-04 00:00:00+10:00,-20.984182357788086,145.0405731201172,23.0905,29487.742,0.0,5.500909,12.79,185
2024-07-05 00:00:00+10:00,-20.984182357788086,145.0405731201172,21.3905,17897.695,0.0,8.464632,9.06,186
2024-07-06 00:00:00+10:00,-20.984182357788086,145.0405731201172,21.7405,30440.305,0.0,9.211407,11.38,187
2024-07-07 00:00:00+10:00,-20.984182357788086,145.0405731201172,23.040499,28558.537,0.0,8.598255,12.7,188
2024-07-08 00:00:00+10:00,-20.984182357788086,145.0405731201172,23.8405,25840.28,0.1,5.860034,11.01,189
2024-07-09 00:00:00+10:00,-20.984182357788086,145.0405731201172,26.540499,36497.95,0.0,4.1617303,16.78,190
2024-07-10 00:00:00+10:00,-20.984182357788086,145.0405731201172,25.8405,36527.027,0.2,2.7658634,15.6,191
2024-07-11 00:00:00+10:00,-20.984182357788086,145.0405731201172,26.3905,36557.41,0.0,4.6400433,17.18,192
2024-07-12 00:00:00+10:00,-20.984182357788086,145.0405731201172,27.6405,36589.5,0.0,3.753665,16.39,193
2024-07-13 00:00:00+10:00,-20.984182357788086,145.0405731201172,23.3905,36623.242,0.0,5.3366656,17.57,194
2024-07-14 00:00:00+10:00,-20.984182357788086,145.0405731201172,21.3905,36658.56,0.0,3.354102,18.0,195
2024-07-15 00:00:00+10:00,-20.984182357788086,145.0405731201172,21.2405,36695.402,0.0,3.4409301,18.14,196
2024-07-16 00:00:00+10:00,-20.984182357788086,145.0405731201172,19.440498,36733.707,0.0,4.675468,18.44,197
2024-07-17 00:00:00+10:00,-20.984182357788086,145.0405731201172,17.8905,36773.4,0.0,4.967897,18.77,198
2024-07-18 00:00:00+10:00,-20.984182357788086,145.0405731201172,17.790499,36814.45,0.0,5.508176,18.78,199
2024-07-19 00:00:00+10:00,-20.984182357788086,145.0405731201172,21.8905,36856.785,0.0,3.7054014,18.92,200
2024-07-20 00:00:00+10:00,-20.984182357788086,145.0405731201172,25.040499,36900.33,0.0,3.6619666,19.22,201
2024-07-21 00:00:00+10:00,-20.984182357788086,145.0405731201172,23.4905,36945.047,0.0,4.172529,18.78,202
2024-07-22 00:00:00+10:00,-20.984182357788086,145.0405731201172,22.8905,36990.875,0.0,5.400926,19.02,203
2024-07-23 00:00:00+10:00,-20.984182357788086,145.0405731201172,23.6405,37037.76,0.0,6.2641835,18.96,204
2024-07-24 00:00:00+10:00,-20.984182357788086,145.0405731201172,24.9905,37085.64,0.0,7.6609397,17.86,205
2024-07-25 00:00:00+10:00,-20.984182357788086,145.0405731201172,25.690498,37134.46,0.0,6.6068144,16.86,206
2024-07-26 00:00:00+10:00,-20.984182357788086,145.0405731201172,25.9905,29345.588,0.0,6.811754,14.94,207
2024-07-27 00:00:00+10:00,-20.984182357788086,145.0405731201172,26.7405,29821.158,0.0,4.701064,13.92,208
2024-07-28 00:00:00+10:00,-20.984182357788086,145.0405731201172,22.790499,11913.191,0.3,6.139218,9.22,209
2024-07-29 00:00:00+10:00,-20.984182357788086,145.0405731201172,23.3405,37338.055,0.0,5.021952,19.62,210
2024-07-30 00:00:00+10:00,-20.984182357788086,145.0405731201172,22.5905,37390.76,0.0,5.4744864,19.85,211
2024-07-31 00:00:00+10:00,-20.984182357788086,145.0405731201172,22.3905,37444.117,0.0,6.4629717,19.67,212
2024-08-01 00:00:00+10:00,-20.984182357788086,145.0405731201172,24.1405,37498.457,0.0,5.8694124,19.21,213
2024-08-02 00:00:00+10:00,-20.984182357788086,145.0405731201172,24.0905,37553.977,0.0,5.2478566,16.48,214
2024-08-03 00:00:00+10:00,-20.984182357788086,145.0405731201172,23.9905,37610.605,0.0,6.2968245,20.01,215
